Username,comment,sentimen,label_int,skor,alasan
lalala,yg gw ingat Bu Sri ngomong yg asli itu. sepintar dia gak mgkn dia blg guru beban negara. kenapa gampang banget rakyat kita termakan hoax,negative,0,-4.0,"neg=['beban', 'bohong', '[beban negara]'] pos=[] emoji=0.0"
DN PROJECT 77,ASLI INI BUKAN AI,neutral,1,0.0,(tidak ada sinyal sentimen)
Maxim56,"Bukan guru tapi ASN adalah beban negara, pensiun juga di gaji sampai metong bayangin jutaan pensiun ASN di Indonesia",negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
Zi,kmu itu tukang palak rakyat,neutral,1,0.0,(tidak ada sinyal sentimen)
masnunah,ngomong opo,neutral,1,0.0,(tidak ada sinyal sentimen)
Nyareat Herbal,"Saya do'akan semoga saya sehat selalu, Diberikan rezeki melimpah dan berkah, aamiin",positive,2,6.0,"neg=[] pos=['semoga', 'sehat', 'berkah', 'aamiin', '[sehat selalu]'] emoji=0.0"
Andre G.I,Lah rumahnya udah hancur. Ganti rakyat aja deh. Jngn ganti pemerintahan🤣,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Ade titi,lu yg beban negara,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
Yohanes mualaf,"WARNING!.DALAM PROSES PENUMBALAN .DPR TIGDAK SALAH DPR
MEMAJUKAN RAKYAT KAN KALIAN 2 YG MEMILIH DPR KORORPSI ITU WAJAR KEBUTUHAN DPR",neutral,1,0.0,(tidak ada sinyal sentimen)
Rhanie Al Habsyi,intinya dia yang naikkin pajak rkyat,neutral,1,0.0,(tidak ada sinyal sentimen)
sweet 90,😱,neutral,1,0.0,(tidak ada sinyal sentimen)
yudacantika,ohhh kalo gitu gak usah ada guru biar gak ada sekolah dan biar anak anak bangsa bodoh dan bisa di bodohi gitu,negative,0,-2.0,neg=['bodoh'] pos=[] emoji=0.0
babi_anj1ng,Kalau gak ada guru mungkin Ibuk gak mungkin pintar,negative,0,-1.0,neg=['pintar(neg)'] pos=[] emoji=0.0
belakebenaran,Mentri kaya gni GK d pecat aja,positive,2,1.0,neg=[] pos=['pecat(neg)'] emoji=0.0
Aceng Hendrik,"lihat bahasa & gerakan mulut serta gerakan nya,,jgn mau di tipu",negative,0,-1.0,neg=['tipu'] pos=[] emoji=0.0
❤️ kalungan,kamu itu beban masyarakat,negative,0,-3.0,"neg=['beban', '[beban masyarakat]'] pos=[] emoji=0.0"
arkana kenzie,TOLONG INFO AKUN YG memposting pertama video hoax IBU SRI MULYANI..,negative,0,-1.0,neg=['bohong'] pos=[] emoji=0.0
Azri,jauh bu kalo di bandingkan dengan anggota DPR yg ratusan juta. guru paling gede juga belasan juta bu,neutral,1,0.0,(tidak ada sinyal sentimen)
Azzaaqifha Nuraurelia,ini video mau di jatsut,neutral,1,0.0,(tidak ada sinyal sentimen)
bak,bodoh,negative,0,-2.0,neg=['bodoh'] pos=[] emoji=0.0
Zainal Osman,Tugas guru penting untuk pendidikan anak bangsa.. Kena usahakan untuk menaikkan gaji guru. Hargailah jasa guru.,positive,2,3.0,"neg=[] pos=['[jasa guru]', '[naikkan gaji guru]'] emoji=0.0"
Marsel nak meletup 😹💔,buzzer nih akun🤣,negative,0,-1.25,neg=['buzzer'] pos=[] emoji=-0.5
matiussurbakti6,emang pjabat goblok,negative,0,-2.0,neg=['bodoh'] pos=[] emoji=0.0
cintaku,ibu lahir tdk langsung jln begitupun ibu berdiri di podium itu karena ibu sekolah jd tolong hargai guru 🙏,positive,2,3.5,"neg=[] pos=['hargai', '[hargai guru]'] emoji=1.0"
vanoo,ibu Sri ajh ga bakalan pintar kalow ga ada guru,negative,0,-1.0,neg=['pintar(neg)'] pos=[] emoji=0.0
Cucu mbah Dermo,Tangkap yg yg memotong vidio ini dan jadi Profokator,neutral,1,0.0,(tidak ada sinyal sentimen)
simet batu,kamu bisa baca dari mana,neutral,1,0.0,(tidak ada sinyal sentimen)
sumiatimanurung36,🤣🥰🥰🥰,positive,2,1.25,neg=[] pos=[] emoji=2.5
PaulaSamiri_,Uda di bayar,neutral,1,0.0,(tidak ada sinyal sentimen)
rose,😅,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
umri,kamu jadi matreal jasanya guru,neutral,1,0.0,(tidak ada sinyal sentimen)
puji,Iki jeneng e wng gk tau sekolah gobelok,neutral,1,0.0,(tidak ada sinyal sentimen)
"hii, ini nda 𐙚",😔,neutral,1,0.0,(tidak ada sinyal sentimen)
ariimaa,"ibu kan sudah pintar 👍 tanpa guru🤭🤭 ,, mukin bagi dia guru itu 👉diaa beban",negative,0,-0.5,"neg=['beban', '[tanpa guru]'] pos=['pintar'] emoji=1.0"
XcalibourClaw,"Akibat yg nonton ke hbisan kuota ,jadi ga smpe akhir di liat 🗿",negative,0,-0.25,neg=[] pos=[] emoji=-0.5
marowaan.almadani,Mulut kumu itu beban Rakyat bangsa negara bangsa negara,negative,0,-3.0,"neg=['beban', '[beban rakyat]'] pos=[] emoji=0.0"
Akbar,bacot jelas jelas suara dia kok,negative,0,-2.0,neg=['[banyak bicara]'] pos=[] emoji=0.0
Nisa Hapsari,padahal dia itu juga guru. gurunya mahasiswa malah alias dosen.,neutral,1,0.0,(tidak ada sinyal sentimen)
agus,🖕🖕🖕,negative,0,-1.5,neg=[] pos=[] emoji=-3.0
mas jun,kamu yag beban negara,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
fikk09,kalo GK ad gru mau jadi ap ank Indonesia. goblokkkk,neutral,1,0.0,(tidak ada sinyal sentimen)
man jaya cell,sak karepmu..lah ngomong howak,neutral,1,0.0,(tidak ada sinyal sentimen)
imasoimah3,katanya sih emang vidionya panjang trs di potong,neutral,1,0.0,(tidak ada sinyal sentimen)
Truwelu,pejabat itu penjahat negara,negative,0,-1.0,neg=['penjahat'] pos=[] emoji=0.0
Robbin,guru itu pahlawan tanda jasa yu mbkyu,positive,2,2.0,neg=[] pos=['pahlawan'] emoji=0.0
yondasrizal,hoak mak lu,neutral,1,0.0,(tidak ada sinyal sentimen)
ahmad82,mungkin maksud dia partisipasi dr masyarakat adalah bayaran spp kali ya...,neutral,1,0.0,(tidak ada sinyal sentimen)
tommyredian,hoaax nya pas dimana nya min ?,neutral,1,0.0,(tidak ada sinyal sentimen)
harga murah,kan harus dari ke uangan negara mbok bener,neutral,1,0.0,(tidak ada sinyal sentimen)
Rebby,😂😂😂,negative,0,-0.75,neg=[] pos=[] emoji=-1.5
Dan_L,Maf bu saya sempat sudzan,neutral,1,0.0,(tidak ada sinyal sentimen)
Khairul Adami,tangkap aja,neutral,1,0.0,(tidak ada sinyal sentimen)
Beauty,"@Beauty:mkn gratis ga perlu krn byk ortu yg sdh memberikan sarapan dr rmh mungkin ad sebagian kcil masyarakat yg tdk mampu memberikan sarapan dan disini peran pemerintah utk memberikan bantuan, yg ke 2 sekolah Rakyat padahal saat ini semua sekolah negeri sdh gratis hy membuang-buang uang rakyat dan membuka celak utk korupsi lgi, yg ke 3 pemeriksaan gratis kan sdh ad BPJS , lbh baik pemerintah fokus menurunkan pajak rakyat dan membuat lapangan krj utk rakyat, melindungi hrg pertanian, perkebunan peternakan itu yg dibutuhkan rakyat sekarang.",negative,0,-1.0,neg=['korupsi'] pos=['baik'] emoji=0.0
Almirakasih17,DPR itu beban rakyat knpa yah dy nggak blg bgt???😁😁😁😁,negative,0,-4.0,"neg=['beban', '[beban rakyat]'] pos=[] emoji=-2.0"
syam,tu sudah di edit,neutral,1,0.0,(tidak ada sinyal sentimen)
karunia rejeki,PEJABAT TAIK!!!!!!! GURU ITU PROFESI PALING BERJASA!!!! DASAR PEJABAT GOBLOK!!! EMG SENGAJA RAKYAT DI GOBLOK2IN AGAR PEJABATNYA MERASAKAN UANG RKYT,negative,0,-4.0,"neg=['tahi', 'bodoh', 'bodoh'] pos=['berjasa'] emoji=0.0"
Cinta imut,uangx d ambil para dpr yg koruptor,negative,0,-2.0,neg=['koruptor'] pos=[] emoji=0.0
clarss_🐬,pas kecil gak di sekolahin ya makanya ngomong gitu? (gak bermaksud),neutral,1,0.0,(tidak ada sinyal sentimen)
SumiCanss_,kamu bisa skolah karna guru ibu sri melayani bisa duduk dpr karna guru,neutral,1,0.0,(tidak ada sinyal sentimen)
Aisyah,"Guru itu bukan beban Negara bu . Guru itu Pahlawan tampa tanda jasa , ibu menjadi menteri keuangan didik siapa .....? guru .",positive,2,1.0,"neg=['[beban negara]'] pos=['beban(neg)', 'pahlawan'] emoji=0.0"
nasripah,"wong kuwi disek opo ora diajari guru ,??",neutral,1,0.0,(tidak ada sinyal sentimen)
@Tya.SNN,"Pajak itu... beban guru .. krn guru gajinya kecil 😁
Saya berharap gaji DPR dan UMR rata2 di Indonesia tdk terlalu jauh... maximal 5x..
yg mjd PR para DPR gmn spy UMR rata2 bs 10jt...
Begitu cara kalau DPR mau tinggi gaji dan Tunjangan2nya...",negative,0,-1.25,neg=['beban'] pos=[] emoji=-0.5
joko  tarub,"netizen Indonesia belom siap Nerima teknologi IA,belom bisa bedain video Edit tan sama asli ,ini bisa memberi celah untuk alat adu domba.",negative,0,-2.0,neg=['[adu domba]'] pos=[] emoji=0.0
sutarjo,bukan bebannegara kewajiban negara makanya kalianharumudur jadimentri,neutral,1,0.0,(tidak ada sinyal sentimen)
Soeci 4rdi4nti,kau yang beban negara,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
rahman,buzzer 🤣,negative,0,-1.25,neg=['buzzer'] pos=[] emoji=-0.5
Lailatun,mik nya beda,neutral,1,0.0,(tidak ada sinyal sentimen)
anggita,😢,neutral,1,0.0,(tidak ada sinyal sentimen)
Try Zara,"cangkeme Sri Mulyani menteri keuangan negara Indonesia iku suwek EN,,, kok iso Muni koyok ngono,,, lebih baik pecat lah secara tidak hormat,,,",negative,0,-1.0,"neg=['pecat', 'hormat(neg)'] pos=['baik'] emoji=0.0"
COME N GET ME !!,kena virus oleh bapak president,neutral,1,0.0,(tidak ada sinyal sentimen)
#Hema Sherlyn ponneq,mundur saja,neutral,1,0.0,(tidak ada sinyal sentimen)
CRZ,kalau saya menjadi raja penguasa saya bubarkan guru sama DPR RI,negative,0,-1.0,neg=['bubarkan'] pos=[] emoji=0.0
tati,ibu beban masarakat kecil,negative,0,-1.0,neg=['beban'] pos=[] emoji=0.0
rania pagiet,"itu gak hoax .. dan mmg gaji guru itu salah satu beban negara, termasuk gaji polisi,gaji Dy jg.
dan org akuntansi paham itu.gak ush bilang hoax jelaskan aja yg sebenrnya",negative,0,-3.0,"neg=['beban', 'bohong', '[beban negara]'] pos=['bohong(neg)'] emoji=0.0"
kholid,"orra mikirr puoooolll encen kowe CIMul, asal njeplakk lambene🤣🤣",negative,0,-0.5,neg=[] pos=[] emoji=-1.0
Transformer,"TANGKAP pengedit nya ,ini sangat berbahaya",negative,0,-1.0,neg=['berbahaya'] pos=[] emoji=0.0
Miya Dev Maliq,Yang komen banyak yang gagal faham apa gimana sih ? 😅,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Grifano,editan kurang rapi mas bro 👍 DASAR OTAK PROVOKATOR,negative,0,-0.5,neg=['provokator'] pos=[] emoji=1.0
user8393560698054,coba pelajari tentang bahasa bahasa akuntansi... kredit debit .. itu maksudnya mengarah ke bahasa keuangan,neutral,1,0.0,(tidak ada sinyal sentimen)
Roni. R,sama aja video aslinya juga intinya itu.,negative,0,-1.0,neg=['[sama saja]'] pos=[] emoji=0.0
sri,yg mengedit hrs ditangkap!!!,neutral,1,0.0,(tidak ada sinyal sentimen)
Haslinda,itu mulut nyi😡.. manusia yang tdk tau berterima kasih melecehkan dan merendahkan guru,negative,0,-0.5,"neg=['melecehkan', 'merendahkan'] pos=['[terima kasih]'] emoji=-1.0"
Win_ArtDesain_Grafis,"kyknya yang vidi0 1 ai deh, soalnya suara kek deep gitu, terus keribut dekat mulut hilang timbul😅",negative,0,-0.25,neg=[] pos=[] emoji=-0.5
SoelKarnain,Mentri frrreeeettttt haus jabatan,neutral,1,0.0,(tidak ada sinyal sentimen)
Arka ST,yg kmarin jd korban hoak udh pd waras blm y,neutral,1,0.0,(tidak ada sinyal sentimen)
heyyow,😭😭😭,neutral,1,0.0,(tidak ada sinyal sentimen)
juariyahjuariyah687,berati ibu Sri dulu ga sekolah ya bu,neutral,1,0.0,(tidak ada sinyal sentimen)
NgemiL🥢enak,Tengok nih sri !!,neutral,1,0.0,(tidak ada sinyal sentimen)
Arash Raihan,"Nenek satu ini klau dia bicara pasti membuat sengsara Rakyat,..kenapa sih Nenek satu ini tidak di pecat..",neutral,1,0.0,neg=['sengsara'] pos=['pecat(neg)'] emoji=0.0
Fortune 123,"kamu yang jadi beban rakyat,Bu",negative,0,-3.0,"neg=['beban', '[beban rakyat]'] pos=[] emoji=0.0"
bang marbun,"intinya kalian pejabat negara tdk sayang sama rakyat,",negative,0,-1.0,neg=['sayang(neg)'] pos=[] emoji=0.0
Yuli Mariana,e buk ....kamu yg beban negara...,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
Rudi Hartono,"tidak ada guru manusia jadi bodoh kurang baik kurang bagus
kalau masalah uang jangan menyebut nama"" guru",neutral,1,0.0,"neg=['bodoh'] pos=['baik', 'bagus'] emoji=0.0"
Kusumo Budhi,yg meneliti harusnya di cari gara gara ini rumah SM di jarah.,neutral,1,0.0,(tidak ada sinyal sentimen)
Hana,Angkota DPR itu beban rakyat 😂,negative,0,-3.25,"neg=['beban', '[beban rakyat]'] pos=[] emoji=-0.5"
Edih Sapaat,yg bilng guru BBN ngra itu orng gblk,negative,0,-2.0,neg=['gblk'] pos=[] emoji=0.0
sahitm8,ibu dulu pintar apa bukan dari guru coba di fikirkan ap ibuk dulu nggx sekolah,positive,2,1.0,neg=[] pos=['pintar'] emoji=0.0
Hisam,kepala bapak kau,neutral,1,0.0,(tidak ada sinyal sentimen)
Masghe_,ornag konoha gampang banget ketipu AI,negative,0,-1.0,neg=['ketipu'] pos=[] emoji=0.0
Imel Buah,yang ngomong nya 🤣,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
ganz,hoak di mana nya nih??,neutral,1,0.0,(tidak ada sinyal sentimen)
Kopi Pahit,Akhirnya banyak guru yang tertipu juga bahkan membagikan potongan vidio hoak,neutral,1,0.0,(tidak ada sinyal sentimen)
_GA ADA_,"Nggak heran , dia kan nggak pernah sekolah 😏",negative,0,-0.25,neg=[] pos=[] emoji=-0.5
sartria laksanatambak,guru itu beban negara banyak libur nya🤣🤣🤣,negative,0,-3.75,"neg=['beban', '[beban negara]'] pos=[] emoji=-1.5"
Sisca Hutabarat,"Video awal emang ai, tp kan omongan dia yg asli makna nya sama.",neutral,1,0.0,(tidak ada sinyal sentimen)
TERAPI HOLISTIK,MATAMU,neutral,1,0.0,(tidak ada sinyal sentimen)
demen.Game8,😡,negative,0,-0.5,neg=[] pos=[] emoji=-1.0
Ririn Eka sari,itu asli n real... ga ad hoax2 nya..,negative,0,-1.0,neg=['bohong'] pos=[] emoji=0.0
rvv,apakah pengedit fitnah terhadap Bu Sri udah ditangkap?,negative,0,-1.0,neg=['fitnah'] pos=[] emoji=0.0
trisilawati70,hanya manusia bodoh yg dengan mudah terprovokasi tanpa mencari lebih tahu kebenarannya,negative,0,-2.0,neg=['bodoh'] pos=[] emoji=0.0
THE WIN,"yg nyata beban itu anda m temn""anda m dpr itu beban rakyat.. penghisap darah dan keringat rakyat",negative,0,-4.0,"neg=['beban', 'beban', '[beban rakyat]'] pos=[] emoji=0.0"
yasin.,guru beban negara. DPR dan Mentri itu beban siapa...,negative,0,-4.0,"neg=['beban', 'beban', '[beban negara]'] pos=[] emoji=0.0"
curut kantor99%,otak koplak,negative,0,-2.0,neg=['koplak'] pos=[] emoji=0.0
Bujang gunung,Tampaknya guru ibu tidak akan bisah menjadi menteri.,neutral,1,0.0,(tidak ada sinyal sentimen)
Queen,SDM rendah udh pd ngmuk bu.. goblok goblok sih mrk,negative,0,-4.0,"neg=['bodoh', 'bodoh'] pos=[] emoji=0.0"
Apai Besai,"salah guna bahasa...seharusnya...""guru itu tanggungjawab negara..""",neutral,1,0.0,(tidak ada sinyal sentimen)
budilaksonolakson3,biar gk rame terus tangkap yg mengedit pertama,neutral,1,0.0,(tidak ada sinyal sentimen)
HERMAN,yg pertama di edit pakai AI,neutral,1,0.0,(tidak ada sinyal sentimen)
𝑒𝑛𝑖𝑧𝑎𝑟♡︎,"buk guru itu bukan beban negara
kalau tak karena guru kamu munkin
ngak jadi mentri
jadi kamu ngsk layak jadi mentri ke uangan kamu inilh membuat rakyat jadi marah",negative,0,-1.0,neg=['[beban negara]'] pos=['beban(neg)'] emoji=0.0
bebek unyuk,kamu jadi menteri diberi ilmu dari seorang guru,neutral,1,0.0,(tidak ada sinyal sentimen)
Sakura Mekar,hanya bacot yg bilang begitu bacot kao bisa menghitung x x x sekolah kan kao,negative,0,-2.0,neg=['[banyak bicara]'] pos=[] emoji=0.0
Govinda001,"tidak ada yg membedakan video editan sama aslinya itu.
sama"" video asli itu.🤣",negative,0,-0.25,neg=[] pos=[] emoji=-0.5
kyllllzz,kamu keluarganya mulyani ta,neutral,1,0.0,(tidak ada sinyal sentimen)
"aku, Aya!👋",naon bu nu di rasa teh,neutral,1,0.0,(tidak ada sinyal sentimen)
Ajudan_mentari19,hy Sri Mulyani. Lo pinter di bibing oleh guru Lo ngak pinter bacot kayak gini KLO ngak bimbingan guru 😂😂😂,negative,0,-0.75,"neg=['[banyak bicara]'] pos=['pinter', 'pinter'] emoji=-1.5"
nik anang,"ini video nya sengaja di potong , oleh manusia hatinya sakit hati",neutral,1,0.0,(tidak ada sinyal sentimen)
꧁﷽𝆺𝅥⃝F🅰️ 𝕒judan.D𝆺𝅥⃝N≛⃟⍣⃟𒁍,"kata sapa beban negara,, saya sekolah dibantu guru biaya sekolah,, KLO biasa SPP KURANG GURU YG BANTU BAYAR..",negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
Rudi new,puyeng,neutral,1,0.0,(tidak ada sinyal sentimen)
lamura_guchi,"ini acara guru semua yg hadir
jd guru lah yg memfitnah bu Sri muliayani
mengaplod video pertama",negative,0,-1.0,neg=['memfitnah'] pos=[] emoji=0.0
Asep Adianto,Kawalat sia ngomong teh,neutral,1,0.0,(tidak ada sinyal sentimen)
FashionChop,video pertama itu AI,neutral,1,0.0,(tidak ada sinyal sentimen)
Andi Arif816,INTI BICARA NYA SAMA SAJA..GURU ITU BEBAN NEGARA...SEHARUSNYA MENTERI TIDAK PERLU BARTANYA APAKAH SEMUA HARUS KEUANGAN NEGARA?.ATAU partisipasi dari masyarakat...masa masyarat disuruh partisipasi..GURU ITU HARUS DIBAYAR NEGARA...,negative,0,-4.0,"neg=['beban', '[beban negara]', '[sama saja]'] pos=[] emoji=0.0"
Sweetpea,Buzerrrrrr bayaran dpr sama pemerintah muncul,neutral,1,0.0,(tidak ada sinyal sentimen)
King_Moon,tangkap yang mengubah narasi ini dan menjadikan ibu sri mulyani diftnah 😳,neutral,1,0.0,(tidak ada sinyal sentimen)
netralizer85@,Jahadnya.. mrekah2..pdhal Vidyo edutan_ dimna przaan klien2.,neutral,1,0.0,(tidak ada sinyal sentimen)
yani03,"knp pejabat bnyk korupsi dan kurang dgn gaji nya krn tdk adanya iman dan ilmu, empati dgn sesama",negative,0,-2.0,neg=['korupsi'] pos=[] emoji=0.0
"Yohhans.,999",Tunjangan DPR beban penjabat negara,negative,0,-1.0,neg=['beban'] pos=[] emoji=0.0
yani03,guru itu beban anda tanpa guru gk akn ada disini knp anggota dewan hisa diduk enak sedangkan guru hrs bicara berdiri berfikir dan mengasah ilmunya ...,negative,0,-2.0,"neg=['beban', '[tanpa guru]'] pos=[] emoji=0.0"
Mimi ndut,kamu bu srimulyani yg menjadi beban negara mh,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
pak wi,ngeles,negative,0,-1.0,neg=['berkilah'] pos=[] emoji=0.0
met,"BETUL TIDAK EDIT ITU cuma maksudnya guru itu negara yg tanggung gajinya , cuma cara utarakan nya disalah artikan rakyat yg SDM kurang",neutral,1,0.0,(tidak ada sinyal sentimen)
shillo,"Asal guru tanpa pensiunan,,,bukan beban..",positive,2,1.0,neg=[] pos=['beban(neg)'] emoji=0.0
𝑨𝑵𝑰 𝑯𝑵-𝑵𝑯,sayangnya udah banyak yg percaya dgn editan vidio yg menimbulkan kericuhan.padahal asli vidionya Bu Sri ga ada yg bilang guru adalah beban negara.,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
hisyam12,Malaysia akan jd begini suatu hari nanti 😭,neutral,1,0.0,(tidak ada sinyal sentimen)
Gendol,mestinya ditangkap pembuat video hoax itu.membuat kegaduhan besar,negative,0,-1.0,neg=['bohong'] pos=[] emoji=0.0
sariah saja,mentri sekarang pada ngaco ngomongnya,negative,0,-1.0,neg=['ngaco'] pos=[] emoji=0.0
cellamamacila,Keliatan bggt itu ai kok ngeri bgt zaman skg orang gampang bgt terprovokasi,negative,0,-1.0,neg=['ngeri'] pos=[] emoji=0.0
WU CIN,"tanpa ada GURU..anda gax di situ bos..anda gak LULUS SD,SMP,SMA, KULIAH bahkan Samapi anda jadi MENTRI...pinter dikit bicara TE",positive,2,1.0,neg=[] pos=['pinter'] emoji=0.0
yani03,lihat rakyat Plosok bnyk guru honor yg hrs berjuang memenuhi kebutuhan guru ngaji yg hrs bekerja keras untuk memenuhi kebutuhan keluarga Nya,neutral,1,0.0,(tidak ada sinyal sentimen)
Hans Hanafi,yg beban negara itu DPR merampok uang rakyat,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
Rad Reeves,beda kalimat...tapi arahnya sama,negative,0,-1.0,neg=['[beda kalimat]'] pos=[] emoji=0.0
yohanessd,iclik serimulyani dia dalangya,neutral,1,0.0,(tidak ada sinyal sentimen)
Epong Sopiati,kalo memang itu hoak ato AI cari yang buat Ai nya.,neutral,1,0.0,(tidak ada sinyal sentimen)
Eko Haryono,kasihan Buari vidionya di edit,positive,2,1.0,neg=[] pos=['kasihan'] emoji=0.0
NaNaaaaa,hoax,negative,0,-1.0,neg=['bohong'] pos=[] emoji=0.0
yande ( LAMA),"@yande ( LAMA):saya dari Bali tdk pernah percaya dengan informasi hoax, saya percaya ibu Sri Mulyani adalah perempuan yg betul betul cerdas, bertanggung jawab dan sungguh bekerja. kl gk spt itu GK mungkin pak Jokowi memanggil jadikan Mentri keuangan.
filing saya belum pernah meleset. dari awal saya menduga bahwa buk Sri Mulyani benar dan jujur.
greetings from Bali 🙏🙏🙏🌹",positive,2,4.0,"neg=['bohong'] pos=['cerdas', 'jujur'] emoji=4.0"
Ruben,"kok mertri"" yg sekarng pada bodoh"" ya",negative,0,-2.0,neg=['bodoh'] pos=[] emoji=0.0
(.DIAN.ANAK.LAMPUNG.WAYKANAN.),Kalau ngomong itu hati-hati Bu,neutral,1,0.0,(tidak ada sinyal sentimen)
🧧redtha,"itu ai kosyak, ini sengklek semua kah",neutral,1,0.0,(tidak ada sinyal sentimen)
eida_adawiyah,sy dari malaysia kenapa dia cakap macam tu... sy minta maaf kalau silap,neutral,1,0.0,(tidak ada sinyal sentimen)
Mugiyono 1972,"betul segera di usut ..kasian sama ibu menteri kita ini ..
karna memecah belah anak bangsa",positive,2,1.0,neg=[] pos=['kasian'] emoji=0.0
Arvi Nugraha,"sebenarnya yg bikin ribut itu orang yg suka vidio2 , yg jadi salah paham",neutral,1,0.0,(tidak ada sinyal sentimen)
mommy_salwa,grgr AI rumahnya di jarah ya allah berdosa yg edit,neutral,1,0.0,(tidak ada sinyal sentimen)
BORNEO,di pelintir hoax ....,negative,0,-2.0,"neg=['pelintir', 'bohong'] pos=[] emoji=0.0"
y,sr mlnhj itu bebean negra,neutral,1,0.0,(tidak ada sinyal sentimen)
Jayaw11,lu beban rakyat,negative,0,-3.0,"neg=['beban', '[beban rakyat]'] pos=[] emoji=0.0"
dodo,MEMANG INI HOAX HASIL AI ... MASIH ADA YG TUTUP MATA ?,negative,0,-1.0,neg=['bohong'] pos=[] emoji=0.0
IKN,"ini dulu video Ahok diedit edit bilang menista Agama Islam,tanpa mereka cek asli videonya...karena Ahok kering lahan mereka",neutral,1,0.0,(tidak ada sinyal sentimen)
Bung Asran,baru tahu Sri Mulyani tidak sekolah bisa jadi anggota parlemen,neutral,1,0.0,(tidak ada sinyal sentimen)
aisyah,Sebenarnya anda lah beban negara,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
herbafarmaagung,yg edit bisa di usut tuh ya ampun fitnah besar brrti slama ini yg nyebut beban negara ternyata AI. 😭.,negative,0,-4.0,"neg=['fitnah', 'beban', '[beban negara]'] pos=[] emoji=0.0"
johanessembiring93,awas termul buat hoax,negative,0,-1.0,neg=['bohong'] pos=[] emoji=0.0
rumahsulamalisbali,USUT TUNTAS ... We Love Ibu Sri Mulyani @Sri Mulyani,positive,2,1.0,neg=[] pos=['love'] emoji=0.0
Chutikarn,"lahhh iyaa yaa pdahal itu keliatan bngt AI, gue nnti ini liat cmn ternyata emng kliatan bngt AI",neutral,1,0.0,(tidak ada sinyal sentimen)
"mas Rohim "" 57 """,kekaya dari DPR dari mana dapat uang itu.koupsi.DPR itu bebsn raykat,neutral,1,0.0,(tidak ada sinyal sentimen)
Miland,"lah kalau bilang guru beban negara xoax, terus bilang tantangan keuangan negera kenapa gaji tunjangan dpr naik terus?",negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
grunge,asli bukan ai,neutral,1,0.0,(tidak ada sinyal sentimen)
"Ardi C765muhamad nur Rafli ,","apa rakyat itu harus njejeliiiin pemerentah terus ,biar tu orang2 korupsi sampae mampuuuuuusssss",negative,0,-2.0,neg=['korupsi'] pos=[] emoji=0.0
"Ardi C765muhamad nur Rafli ,","kalo guru beban negara ,korupsi bebannya siapa ya bu sriiiiiiiiiiiiiiii",negative,0,-5.0,"neg=['beban', 'korupsi', '[beban negara]'] pos=[] emoji=0.0"
andrieadi23,yg ngedit harus ketangkep itu.,neutral,1,0.0,(tidak ada sinyal sentimen)
Iqbal Maulana,"inilah yang mengadu domba rakyat,, sudah tahu salah malah di bela....",negative,0,-1.0,neg=['[adu domba]'] pos=['bela'] emoji=0.0
suka sma inisial F,DPR itu beban negara betul ga!!!!!,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
suryanih,ga salah guru beban negars ibu pinter berkat diapa bu pinter baru lahit,positive,2,1.0,"neg=['beban'] pos=['pinter', 'pinter'] emoji=0.0"
ⓀⒶⓀⒶⓂ,"udh jls sri mulyani manusia rakus,,yg merampas uang rakyat lewat pajak",negative,0,-1.0,neg=['rakus'] pos=[] emoji=0.0
the king,ini yg merubah kata2 menteri keuangan ditangkap aja bikin gaduh,negative,0,-1.0,neg=['gaduh'] pos=[] emoji=0.0
Wiwin Listiati,KASEP,neutral,1,0.0,(tidak ada sinyal sentimen)
sasa,"KALAU PEMIKIRAN RAKYAT KECIL SEPERTI SAYA INI, PEMERINTAH YG DI TANGANI OLEH PA PRABOWO, MEMBUAT KERUSUHAN SAAT INI,SUPAYA SEMUA RAKYAT BISA MEMBANTU MENGATASI PARA KORUP,KARENA KALAU DIA SENDIRI GA AKAN KUAT TEMAN TEMAN, COBA BERFIKIR POSITIF DEH. KOREKSI KALAU SALAH KOMEN",negative,0,-2.0,neg=['korupsi'] pos=[] emoji=0.0
Lukman<3,mudah mudahan ibu ini jadi rakyat kecil seperti kita,neutral,1,0.0,(tidak ada sinyal sentimen)
